Name,Latitude,Longitude,Review Count,Review Score,Category Id,Category Type,Attraction Score
ISKCON Temple Bangalore,12.983932000000001,77.57959,4790,4.5,47,Sights and Landmarks,9.5
Cubbon Park,12.97669,77.595,2465,4.0,57,Nature and Parks,9.0
Wonderla Amusement Park,12.835139,77.40109,4168,4.5,52,Water and Amusement Parks,9.5
Lalbagh Botanical Garden,12.94848,77.58657,6146,4.0,57,Nature and Parks,9.0
UB City,12.971629,77.595795,2789,4.5,26,Shopping,9.5
Visvesvaraya Industrial and Technological Museum,12.974961,77.59645,1749,4.5,49,Museums,9.5
Bannerghatta National Park,12.90092,77.60105,2925,4.0,57,Nature and Parks,9.0
Commercial Street,12.98221,77.60826999999999,1204,4.0,51;47,Other;Sights and Landmarks,8.96
Bull Temple,12.941853,77.56795,813,4.0,47,Sights and Landmarks,8.81
Phoenix Marketcity,12.996836,77.69669,648,4.5,26,Shopping,9.13
Dodda Ganapathi Temple,12.941989999999999,77.56725,558,4.5,47,Sights and Landmarks,8.96
Mahatma Gandhi (MG) Road,12.97449,77.61102,1295,4.0,47,Sights and Landmarks,8.97
M Chinnaswamy Stadium,12.977722,77.59999,705,4.5,47,Sights and Landmarks,9.2
Orion Mall,13.011203,77.55502,549,4.5,26,Shopping,8.94
Sree Surya Narayana Swamy Temple,12.96082,77.64022,314,4.5,47,Sights and Landmarks,8.08
Pyramid Valley International,12.87013,77.53737,366,4.0,47,Sights and Landmarks,7.84
Chikka Tirupati Temple,12.94897,77.57937,151,4.0,47,Sights and Landmarks,6.27
Ragigudda Sri Prasanna Anjaneyaswamy Temple,12.99337,77.568275,575,4.5,47,Sights and Landmarks,9.0
Karnataka Chitrakala Parishat,12.988869000000001,77.58099,210,4.5,49;26,Museums;Shopping,7.34
Ghati Subramanya Temple,13.166129999999999,77.58131999999999,153,4.5,47,Sights and Landmarks,6.79
"Prani, The Pet Sanctuary",12.76639,77.48795,36,4.5,57,Nature and Parks,5.17
Vidhana Soudha and Attara Kacheri,12.97964,77.59116999999999,771,4.5,47,Sights and Landmarks,9.27
The Heritage Centre & Aerospace Museum,12.955423,77.68077,456,4.0,49,Museums,8.19
Sankey Tank,13.00409,77.57919,374,4.0,57,Nature and Parks,7.88
Jawahar Lal Nehru Planetarium,12.984653,77.59004,243,4.0,49,Museums,7.11
Bangalore Palace,12.99882,77.59215999999999,1655,3.5,47,Sights and Landmarks,8.49
Bangalore Central Mall,12.97059,77.60412,175,4.0,26,Shopping,6.52
Mantri Square,12.991605999999999,77.57096,209,4.5,26,Shopping,7.33
Shrungagiri Sri Shanmukha Temple,12.99182,77.59444,82,4.5,47,Sights and Landmarks,5.9
Cauvery Handicrafts,12.974844000000001,77.60804,335,4.0,49;26,Museums;Shopping,7.69
Indira Gandhi Musical Fountain,12.98127,77.59781,227,4.0,47,Sights and Landmarks,6.98
Garuda Mall,12.970156,77.60995,215,4.0,26,Shopping,6.88
KR Market,12.9659,77.576385,159,4.0,26,Shopping,6.35
The Forum Koramangala Mall,12.93441,77.61119000000001,380,4.0,26,Shopping,7.91
Basavanagudi,12.94566,77.57094000000001,481,4.5,51;47,Other;Sights and Landmarks,8.77
Gavi Gangadhareshwara Temple,12.94662,77.55895,268,4.5,47,Sights and Landmarks,7.79
Malleswaram,13.005991,77.567314,509,4.5,51;47,Other;Sights and Landmarks,8.85
Shivoham Shiva Temple,12.957927,77.65643,732,3.5,47,Sights and Landmarks,8.23
Plaza Premium Lounge,13.200438,77.71043399999999,573,4.0,60,Traveller Resources,8.49
Kaikondrahalli Lake,12.92419,77.62878,134,4.5,57,Nature and Parks,6.57
Innovative Film City,12.776492,77.41672,794,3.0,52,Water and Amusement Parks,7.79
Indian Music Experience,12.891766,77.58372,33,4.5,49,Museums,5.12
St. Mary's Basilica,12.98933,77.60497,239,4.5,47,Sights and Landmarks,7.58
