Name,Latitude,Longitude,Review Count,Review Score,Category Id,Category Type
VGP Snow Kingdom,12.913228,80.25107,545,4.5,52,Water and Amusement Parks
VGP Universal Kingdom,12.97504,80.2585,333,4.0,52,Water and Amusement Parks
Express Avenue Mall,13.058629,80.26415,908,4.0,26,Shopping
Kapaleeshwarar Temple,13.04651,80.26394,2531,4.5,47,Sights and Landmarks
Shirdi Sai Baba Temple,12.9136,80.24904,585,4.5,47,Sights and Landmarks
"ISKCON Chennai, Sri Sri Radha Krishna Temple",12.906193,80.24169,329,4.5,47,Sights and Landmarks
Chennai Metro Rail,12.97686,80.22698,333,4.5,59,Transportation
St. Thomas Mount National Shrine,13.05852,80.2762,350,4.5,47,Sights and Landmarks
Chennai Rail Museum,13.100257,80.20883,192,4.5,49,Museums
VGP Marine Kingdom,12.912008,80.25086,65,4.5,48;57,Zoos and Aquariums;Nature and Parks
Guindy Snake Park,13.00663,80.24814,248,4.0,57,Nature and Parks
Besant Nagar Beach,12.99695,80.27029,1645,4.0,57;61,Nature and Parks;Outdoor Activities
Parthasarathy Temple,13.05373,80.27893,802,4.5,47,Sights and Landmarks
"T Nagar, Ranganathan Street",13.06077,80.27646,994,4.0,26;47,Shopping;Sights and Landmarks
Mylapore,13.033674,80.2704,487,4.5,51;47,Other;Sights and Landmarks
Pondy Bazaar,13.09194,80.27805,158,4.0,51;47,Other;Sights and Landmarks
Light House,12.99363,80.26195,287,4.0,47,Sights and Landmarks
Vadapalani Murugan Temple,13.05129,80.213524,458,4.5,47,Sights and Landmarks
The Anna Centenary Library,13.017154,80.24062,247,4.5,60,Traveller Resources
Ashtalakshmi Temple,12.99365,80.26347,248,4.5,47,Sights and Landmarks
Kalikambal Temple,13.03325,80.15968,278,4.5,47,Sights and Landmarks
Chetpet EcoPark,13.07795,80.24449,60,4.5,57;61,Nature and Parks;Outdoor Activities
Matsya Narayana Temple,12.87865,80.25115,23,5.0,47,Sights and Landmarks
Elliot's Beach,13.00085,80.25795,351,4.0,57;61,Nature and Parks;Outdoor Activities
Vivekananda House,13.13902,80.27892,188,4.5,47,Sights and Landmarks
Chennai Central Railway Station,13.08232,80.28017,501,4.0,47,Sights and Landmarks
Mahalingapuram Sree Ayyappa Temple,13.05452,80.23145,101,4.5,47,Sights and Landmarks
San Thome Church,13.03025,80.27674,1243,4.5,47,Sights and Landmarks
VR Chennai,13.080702,80.19746,50,4.0,26,Shopping
Marina Beach,13.05184,80.28157,3911,4.0,57;61,Nature and Parks;Outdoor Activities
Viswaroopa Adhivyadhihara Sri Bhaktha Anjaneyaswami Temple,12.98571,80.19492,275,4.5,47,Sights and Landmarks
Pothys Hyper,13.035272,80.23046,32,4.5,26,Shopping
M.A.Chidambaram Stadium,13.05808,80.20967,108,4.5,47,Sights and Landmarks
Muttukadu Lake,12.82316,80.23911,108,3.5,57,Nature and Parks
Marundeeswarar Temple,12.984872,80.260445,207,4.5,47,Sights and Landmarks
Arignar Anna Zoological Park,12.887889,80.0886,472,4.0,48;57;61,Zoos and Aquariums;Nature and Parks;Outdoor Activities
Kundrathur Murugan Temple,12.985841,80.093025,26,4.5,47,Sights and Landmarks
VGP Golden Beach,12.97504,80.2585,101,3.5,57;61,Nature and Parks;Outdoor Activities
The Huddleston Gardens of Theosophical Society,13.02897,80.23377,102,4.5,57,Nature and Parks
"Indian Institute Of Technology, Madras",13.00663,80.24814,255,4.5,47,Sights and Landmarks
Kamakshi Amman Temple,13.05636,80.24391,206,4.5,47,Sights and Landmarks
Connemara Public Library,13.06906,80.25637,25,4.5,60,Traveller Resources
Guindy National Park,13.003131,80.23021,129,4.0,57,Nature and Parks
Cholamandal Artists' Village,12.9863,80.12091,61,4.0,49,Museums
Aarupadai Veedu Temple,13.00313,80.26593,92,4.5,47,Sights and Landmarks
Little Mount Shrine,13.01519,80.22553,92,4.5,47,Sights and Landmarks
Government Museum,13.071462,80.257164,347,3.5,49,Museums
Ramakrishna Temple,13.031093,80.267334,212,4.5,47,Sights and Landmarks
Thiruvidanthai Temple,13.06041,80.1611,26,4.5,47,Sights and Landmarks
Thiruverkadu Devi Karumariamman Temple,12.98266,80.12776,22,4.5,47,Sights and Landmarks
"Jagannath Temple, Kanathur",13.02902,80.22454,100,4.5,47,Sights and Landmarks
Thiruvanmiyur Beach,12.977579,80.268265,23,4.0,57;61,Nature and Parks;Outdoor Activities
Mayajaal Entertainment,12.848023,80.239975,160,3.0,58,Concerts and Shows
Padi Sivan Temple,13.03066,80.15554,27,4.5,47,Sights and Landmarks
Queens Land,13.109776,80.12562,216,4.0,52,Water and Amusement Parks
Chokhi Dhani,13.07631,80.2,191,3.5,47,Sights and Landmarks
Armenian Church,13.0949,80.28879,118,4.0,47,Sights and Landmarks
Sowcarpet,13.090878,80.27967,58,4.0,51;47,Other;Sights and Landmarks
The Rajiv Gandhi Memorial,12.9694,80.1502,77,4.0,47,Sights and Landmarks
Shirdi Sai Baba Temple,13.03736,80.272,211,4.5,47,Sights and Landmarks
Spencer Plaza,13.0614,80.26132,216,3.5,26,Shopping
Parry's Corner,13.08863,80.28808,170,4.0,51;47,Other;Sights and Landmarks
Kishkinta Theme Park,12.936456,80.078316,81,3.5,52,Water and Amusement Parks
Kovalam Beach,12.790211,80.2539,93,3.5,57;61,Nature and Parks;Outdoor Activities
B M Birla Planaturium,13.012362,80.24344,122,3.0,49,Museums
Palladium Mall,12.98432,80.21694,11,4.5,26,Shopping
Fort St. George,12.89852,80.08884,219,3.5,51;47,Other;Sights and Landmarks
Ranganatha Temple,12.94671,80.11593,26,4.5,47,Sights and Landmarks
Ananthaa Padmanabha Swaamy Temple,13.12344,80.21878,167,4.5,47,Sights and Landmarks
St Thomas English Church,13.033667,80.27795,15,4.5,47,Sights and Landmarks
Sri Nageswarar temple,13.07224,80.12476,6,4.5,47,Sights and Landmarks
"Dhenupureeswarar Temple, Madambakam, Chennai",12.898633,80.160385,22,4.5,47,Sights and Landmarks
Sringeri Saradha Peetam Temple,13.03139,80.23925,53,4.5,47,Sights and Landmarks
Chennai Citi Center,13.04332,80.27381,200,3.5,26,Shopping
Sri Kurungaleeswarar Temple,13.07364,80.19805,8,4.5,47,Sights and Landmarks
Wild Tribe Ranch,13.08659,80.27567,45,3.0,52,Water and Amusement Parks
Sri Ramakrishna Math,13.01888,80.26127,17,4.5,47,Sights and Landmarks
Kumaran Kundram,13.13902,80.27892,38,4.5,47,Sights and Landmarks
Breezy Beach,13.0925,80.29444,62,4.5,57;61,Nature and Parks;Outdoor Activities
Semmozhi Poonga,13.050647,80.25177,69,4.0,57,Nature and Parks
MGR Memorial,13.064613,80.28382,85,4.0,47,Sights and Landmarks
Saravana Stores,13.08602,80.24641,40,4.0,26,Shopping
Jawaharlal Nehru Stadium,13.086845,80.262634,11,4.5,47,Sights and Landmarks
Skywalk (ampa Mall),13.073779,80.2214,128,3.5,26,Shopping
Kaaraneeswarar Temple,13.02144,80.22298,19,4.5,47,Sights and Landmarks
Vengeeswarar Temple,13.04836,80.21285,5,5.0,47,Sights and Landmarks
Live Art Museum,12.913423,80.25152,6,4.5,49,Museums
Adyar Poonga River Restoration Park,13.019179,80.26511,5,5.0,47,Sights and Landmarks
Madras War Cemetery,13.014548,80.19439,40,4.5,47,Sights and Landmarks
Pachaiamman Temple,13.132147,80.131386,4,5.0,47,Sights and Landmarks
Click Art Museum,12.913126,80.25148,29,4.0,49,Museums
Abirami Mega Mall,13.08625,80.25571,52,3.5,26,Shopping
Children's Park,13.01082,80.22448,40,3.5,57,Nature and Parks
Vaitheeswaran Temple,13.04986,80.09401,5,4.5,47,Sights and Landmarks
Cotton Alley,13.0755,80.2638,6,4.5,26,Shopping
St Mary's Church,12.89854,80.08902,102,4.0,47,Sights and Landmarks
Jain Temple,12.830784,79.70482,20,4.5,47,Sights and Landmarks
Fort Museum,13.080461,80.28775,164,3.5,49,Museums
Valluvar Kottam Monument,13.05297,80.24258,85,3.5,47,Sights and Landmarks
Sri Santhana Srinivasa Perumal Temple,13.07289,80.22812,9,5.0,47,Sights and Landmarks
Kandhakottam Temple,13.09297,80.22854,14,4.5,47,Sights and Landmarks
Anna Memorial,13.12332,80.29396,34,4.5,47,Sights and Landmarks
Narada Gana Sabha,13.0447,80.25795,4,4.5,58,Concerts and Shows
St. Andrews Church,13.07183,80.18745,26,4.0,47,Sights and Landmarks
Grand Square Mall,12.97244,80.22122,29,3.5,26,Shopping
University of Madras,13.06551,80.28354,62,4.0,47,Sights and Landmarks
Dhandeeswaram Temple,12.98527,80.22508,14,4.0,47,Sights and Landmarks
Broken Bridge,13.012705,80.27593,34,3.5,47,Sights and Landmarks
Victory War Memorial,13.08433,80.28905,35,4.0,47,Sights and Landmarks
