Name,Latitude,Longitude,Review Count,Review Score,Category Id,Category Type,Attraction Score
VGP Snow Kingdom,12.913228,80.25107,545,4.5,52,Water and Amusement Parks,8.93
VGP Universal Kingdom,12.97504,80.2585,333,4.0,52,Water and Amusement Parks,7.68
Express Avenue Mall,13.058629,80.26415,908,4.0,26,Shopping,8.87
Kapaleeshwarar Temple,13.046510000000001,80.26394,2531,4.5,47,Sights and Landmarks,9.5
Shirdi Sai Baba Temple,12.9136,80.24904000000001,585,4.5,47,Sights and Landmarks,9.02
"ISKCON Chennai, Sri Sri Radha Krishna Temple",12.906193,80.24169,329,4.5,47,Sights and Landmarks,8.16
Chennai Metro Rail,12.97686,80.22698000000001,333,4.5,59,Transportation,8.18
St. Thomas Mount National Shrine,13.05852,80.2762,350,4.5,47,Sights and Landmarks,8.27
Chennai Rail Museum,13.100257000000001,80.20883,192,4.5,49,Museums,7.18
VGP Marine Kingdom,12.912008,80.25086,65,4.5,48;57,Zoos and Aquariums;Nature and Parks,5.64
Guindy Snake Park,13.00663,80.24814,248,4.0,57,Nature and Parks,7.15
Besant Nagar Beach,12.99695,80.27029,1645,4.0,57;61,Nature and Parks;Outdoor Activities,8.99
Parthasarathy Temple,13.05373,80.27893,802,4.5,47,Sights and Landmarks,9.3
"T Nagar, Ranganathan Street",13.06077,80.27646,994,4.0,26;47,Shopping;Sights and Landmarks,8.91
Mylapore,13.033674000000001,80.2704,487,4.5,51;47,Other;Sights and Landmarks,8.79
Pondy Bazaar,13.09194,80.27805,158,4.0,51;47,Other;Sights and Landmarks,6.34
Light House,12.99363,80.26195,287,4.0,47,Sights and Landmarks,7.41
Vadapalani Murugan Temple,13.05129,80.21352399999999,458,4.5,47,Sights and Landmarks,8.7
The Anna Centenary Library,13.017154,80.24061999999999,247,4.5,60,Traveller Resources,7.64
Ashtalakshmi Temple,12.99365,80.26347,248,4.5,47,Sights and Landmarks,7.65
Kalikambal Temple,13.03325,80.15968000000001,278,4.5,47,Sights and Landmarks,7.86
Chetpet EcoPark,13.07795,80.24449,60,4.5,57;61,Nature and Parks;Outdoor Activities,5.57
Matsya Narayana Temple,12.87865,80.25115,23,5.0,47,Sights and Landmarks,5.44
Elliot's Beach,13.00085,80.25795,351,4.0,57;61,Nature and Parks;Outdoor Activities,7.77
Vivekananda House,13.13902,80.27892,188,4.5,47,Sights and Landmarks,7.14
Chennai Central Railway Station,13.08232,80.28017,501,4.0,47,Sights and Landmarks,8.33
Mahalingapuram Sree Ayyappa Temple,13.05452,80.23145,101,4.5,47,Sights and Landmarks,6.16
San Thome Church,13.03025,80.27674,1243,4.5,47,Sights and Landmarks,9.47
VR Chennai,13.080702,80.19745999999999,50,4.0,26,Shopping,4.91
Marina Beach,13.051839999999999,80.28157,3911,4.0,57;61,Nature and Parks;Outdoor Activities,9.0
Viswaroopa Adhivyadhihara Sri Bhaktha Anjaneyaswami Temple,12.985710000000001,80.19492,275,4.5,47,Sights and Landmarks,7.84
Pothys Hyper,13.035272,80.23046,32,4.5,26,Shopping,5.1
M.A.Chidambaram Stadium,13.05808,80.20966999999999,108,4.5,47,Sights and Landmarks,6.25
Muttukadu Lake,12.823160000000001,80.23911,108,3.5,57,Nature and Parks,5.25
Marundeeswarar Temple,12.984872,80.26044499999999,207,4.5,47,Sights and Landmarks,7.32
Arignar Anna Zoological Park,12.887889,80.0886,472,4.0,48;57;61,Zoos and Aquariums;Nature and Parks;Outdoor Activities,8.24
Kundrathur Murugan Temple,12.985841,80.093025,26,4.5,47,Sights and Landmarks,4.99
VGP Golden Beach,12.97504,80.2585,101,3.5,57;61,Nature and Parks;Outdoor Activities,5.16
The Huddleston Gardens of Theosophical Society,13.02897,80.23376999999999,102,4.5,57,Nature and Parks,6.18
"Indian Institute Of Technology, Madras",13.00663,80.24814,255,4.5,47,Sights and Landmarks,7.7
Kamakshi Amman Temple,13.05636,80.24391,206,4.5,47,Sights and Landmarks,7.31
Connemara Public Library,13.06906,80.25636999999999,25,4.5,60,Traveller Resources,4.98
Guindy National Park,13.003131,80.23021,129,4.0,57,Nature and Parks,6.02
Cholamandal Artists' Village,12.9863,80.12091,61,4.0,49,Museums,5.08
Aarupadai Veedu Temple,13.00313,80.26593000000001,92,4.5,47,Sights and Landmarks,6.04
Little Mount Shrine,13.015189999999999,80.22553,92,4.5,47,Sights and Landmarks,6.04
Government Museum,13.071462,80.257164,347,3.5,49,Museums,7.25
Ramakrishna Temple,13.031092999999998,80.26733399999999,212,4.5,47,Sights and Landmarks,7.36
Thiruvidanthai Temple,13.060410000000001,80.1611,26,4.5,47,Sights and Landmarks,4.99
Thiruverkadu Devi Karumariamman Temple,12.982660000000001,80.12776,22,4.5,47,Sights and Landmarks,4.92
"Jagannath Temple, Kanathur",13.02902,80.22454,100,4.5,47,Sights and Landmarks,6.15
Thiruvanmiyur Beach,12.977578999999999,80.268265,23,4.0,57;61,Nature and Parks;Outdoor Activities,4.44
Mayajaal Entertainment,12.848023,80.239975,160,3.0,58,Concerts and Shows,5.36
Padi Sivan Temple,13.030660000000001,80.15554,27,4.5,47,Sights and Landmarks,5.01
Queens Land,13.109776,80.12562,216,4.0,52,Water and Amusement Parks,6.89
Chokhi Dhani,13.076310000000001,80.2,191,3.5,47,Sights and Landmarks,6.17
Armenian Church,13.0949,80.28879,118,4.0,47,Sights and Landmarks,5.88
Sowcarpet,13.090878,80.27967,58,4.0,51;47,Other;Sights and Landmarks,5.04
