Name,Latitude,Longitude,Review Count,Review Score,Category Id,Category Type
Qutub Minar,28.524527,77.18548,13154,4.5,47,Sights and Landmarks
Swaminarayan Akshardham,28.612679,77.27726,11789,4.5,57;47,Nature and Parks;Sights and Landmarks
Gurudwara Bangla Sahib,28.626291,77.20927,6788,4.5,47,Sights and Landmarks
Humayun's Tomb,28.593233,77.250755,10435,4.5,47,Sights and Landmarks
Lodhi Garden,28.59633,77.22161,4117,4.5,57,Nature and Parks
Delhi Airport Metro Express,28.64063,77.222496,2650,4.5,59,Transportation
Chandni Chowk,28.656,77.231,4404,4.0,26,Shopping
India Gate,28.612926,77.22951,10274,4.0,47,Sights and Landmarks
Mughal Garden,28.61747,77.20273,656,4.5,57,Nature and Parks
Rashtrapati Bhavan,28.6135,77.21863,1762,4.5,47,Sights and Landmarks
Red Fort,28.655832,77.24028,5490,4.0,47,Sights and Landmarks
Sunder Nursery,28.59997,77.26038,131,5.0,57,Nature and Parks
Select Citywalk,28.528734,77.219315,629,4.5,26,Shopping
Lotus Temple,28.55302,77.26174,6969,4.0,47,Sights and Landmarks
Hauz Khas Village,28.554247,77.19447,1592,4.5,51;47,Other;Sights and Landmarks
National Rail Museum,28.585604,77.17991,718,4.0,49,Museums
Sarojini Nagar Market,28.577518,77.195915,459,4.0,26,Shopping
Gandhi Smriti,28.601852,77.21399,1868,4.5,49,Museums
Raj Ghat,28.640553,77.24952,1462,4.0,47,Sights and Landmarks
Dilli Haat,28.573265,77.2064,1056,4.0,26,Shopping
Delhi Metro,28.65527,77.22524,1392,4.5,59,Transportation
ISKCON Temple Delhi,28.555967,77.25378,1161,4.5,47,Sights and Landmarks
National Gandhi Museum,28.63889,77.24605,617,4.5,49,Museums
DLF Promenade Mall,28.542583,77.155975,347,4.5,26,Shopping
Pacific Mall,28.642382,77.10657,220,4.5,26,Shopping
Birla Mandir Temple (Lakshmi Narayan),28.632498,77.19919,1243,4.5,47,Sights and Landmarks
Madame Tussauds Delhi,28.632627,77.219795,132,4.0,49,Museums
Gurudwara Sis Ganj Sahib,28.628664,77.13348,830,4.5,47,Sights and Landmarks
National Museum,28.611988,77.219185,733,4.0,49,Museums
Indira Gandhi Memorial Museum,28.6,77.206116,551,4.5,49,Museums
Agrasen Ki Baoli - Leamigo,28.625,77.22504,461,4.0,47,Sights and Landmarks
Connaught Place,28.631945,77.219444,3617,4.0,47,Sights and Landmarks
Majnu ka Tilla,28.70279,77.22797,172,4.5,47,Sights and Landmarks
Waste to Wonder Park,28.69306,77.26315,37,4.5,57;47,Nature and Parks;Sights and Landmarks
Chhatarpur Temple,28.500982,77.17934,615,4.5,47,Sights and Landmarks
Mehrauli Archaeological Park,28.51661,77.18857,314,4.5,47,Sights and Landmarks
Crafts Museum,28.613726,77.24212,272,4.0,49,Museums
National Gallery of Modern Art,28.609692,77.23427,371,4.5,49,Museums
Rajpath,28.613123,77.222755,1333,4.5,47,Sights and Landmarks
Karol Bagh,28.64678,77.18955,199,4.0,51;47,Other;Sights and Landmarks
Nehru Park,28.60108,77.19337,150,4.0,57,Nature and Parks
Hanuman Temple / Statue,28.644943,77.19794,219,4.0,47,Sights and Landmarks
National Science Centre,28.613165,77.24564,138,4.0,49,Museums
Indian Air Force Museum,28.57426,77.116234,98,4.0,49,Museums
Purana Qila,28.60945,77.244415,522,4.0,47,Sights and Landmarks
Jawaharlal Nehru Stadium,28.58624,77.23068,67,4.0,56,Fun and Games
India International Centre,28.593536,77.22228,81,4.0,60,Traveller Resources
