Name,Latitude,Longitude,Review Count,Review Score,Category Id,Category Type
Marine Drive,18.933191,72.82323,8166,4.5,61;47,Outdoor Activities;Sights and Landmarks
Bandra-Worli Sea Link,19.031445,72.81612,9507,4.5,47,Sights and Landmarks
Gateway of India,18.921997,72.83457,12425,4.0,47,Sights and Landmarks
Kanheri Caves,19.205887,72.90686,1238,4.5,57;47,Nature and Parks;Sights and Landmarks
Global Vipassana Pagoda,19.22823,72.805855,785,4.5,47,Sights and Landmarks
Shree Siddhivinayak,19.016773,72.83037,5583,4.5,47,Sights and Landmarks
Nariman Point,18.926123,72.82303,2392,4.5,51;47,Other;Sights and Landmarks
Elephanta Caves,18.963343,72.931496,1942,4.0,47,Sights and Landmarks
Mani Bhavan Gandhi Museum,18.959747,72.811485,1777,4.5,49,Museums
Essel World,19.22772,72.85571,1028,4.0,52,Water and Amusement Parks
Dharavi,19.044643,72.84804,517,4.0,51;47,Other;Sights and Landmarks
Wankhede Stadium,18.93682,72.82655,433,4.5,47,Sights and Landmarks
Colaba,18.92156,72.83101,2491,4.5,51;47,Other;Sights and Landmarks
Chhatrapati Shivaji Terminus,18.935223,72.826775,4502,4.5,47,Sights and Landmarks
Dhobi Ghat,18.9818,72.82661,1109,4.0,47,Sights and Landmarks
KidZania Mumbai,19.100023,72.91669,887,4.5,52,Water and Amusement Parks
Water Kingdom,19.23624,72.80347,893,4.5,52,Water and Amusement Parks
Worli Sea Face,19.01667,72.81667,875,4.5,47,Sights and Landmarks
Viviana Mall,19.208712,72.97182,358,4.5,26,Shopping
Red Carpet Wax Museum,19.100407,72.91612,663,4.5,49;52,Museums;Water and Amusement Parks
Colaba Causeway,18.91925,72.82961,816,4.0,47,Sights and Landmarks
R City Mall,19.099771,72.916916,418,4.5,26,Shopping
Phoenix Marketcity,19.086504,72.88901,410,4.0,26,Shopping
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,18.926666,72.83209,963,4.5,49,Museums
Mahalakshmi Temple,18.97802,72.81111,1322,4.5,47,Sights and Landmarks
Snow Kingdom,19.100601,72.91598,101,4.5,52,Water and Amusement Parks
High Street Phoenix,18.994236,72.824455,434,4.5,26,Shopping
Mount Mary Basilica,19.04647,72.82233,1445,4.5,47,Sights and Landmarks
Babulnath Temple,18.95726,72.80866,535,4.5,47,Sights and Landmarks
Juhu Beach,19.104763,72.82393,2292,3.5,57;61,Nature and Parks;Outdoor Activities
Oberoi Mall,19.17405,72.86032,288,4.5,26,Shopping
Aksa Beach,19.2367,72.84174,280,4.0,57;61,Nature and Parks;Outdoor Activities
Sanjay Gandhi National Park,19.213087,72.91414,918,4.0,57,Nature and Parks
Priyadarshini Park,18.95717,72.79965,122,4.5,57,Nature and Parks
Nehru Planetarium,18.98989,72.8149,333,4.0,49,Museums
Sri Sri Radha Gopinath Temple,18.957558,72.80975,2550,4.5,47,Sights and Landmarks
Growel's 101 Mall,19.203133,72.85997,129,4.0,26,Shopping
Deccan Odyssey,18.92427,72.83315,89,4.5,42,Tours
Jain Temple - Mumbai,18.95121,72.801,437,4.5,47,Sights and Landmarks
Malabar Hill,18.9556,72.80596,426,4.0,51;47,Other;Sights and Landmarks
Prithvi Theatre,19.106222,72.825806,380,4.5,58,Concerts and Shows
Palladium Mall,18.994152,72.8243,71,4.0,26,Shopping
Shivaji Park,19.026999,72.83785,379,4.0,57,Nature and Parks
Mahalakshmi Race Course,18.97912,72.81578,75,4.5,53;56,Casinos and Gambling;Fun and Games
Crawford Market,18.947138,72.834114,421,4.0,26,Shopping
Jehangir Art Gallery,18.926577,72.8318,310,4.0,49;26,Museums;Shopping
Bombay High Court,18.929201,72.83074,373,4.0,47,Sights and Landmarks
Lokhandwala Market,19.13638,72.82569,89,4.5,26,Shopping
Nehru Science Center,18.9908,72.81861,141,4.0,49,Museums
Infiniti Mall,19.184767,72.834206,266,4.5,26,Shopping
Ferry to Alibaug,18.92199,72.834656,71,4.0,59,Transportation
Manori Beach,19.21204,72.78314,94,4.0,57;61,Nature and Parks;Outdoor Activities
Sassoon Dock,18.91047,72.81727,58,4.0,47,Sights and Landmarks
Lal Baug Cha Raja,18.99046,72.83652,47,4.5,47,Sights and Landmarks
Inorbit Mall,19.173065,72.83562,80,4.5,26,Shopping
Kamala Nehru Park,18.9583,72.80945,160,4.0,57,Nature and Parks
