Name,Latitude,Longitude,Review Count,Review Score,Category Id,Category Type,Attraction Score
Marine Drive,18.933191,72.82323000000001,8166,4.5,61;47,Outdoor Activities;Sights and Landmarks,9.5
Bandra-Worli Sea Link,19.031445,72.81612,9507,4.5,47,Sights and Landmarks,9.5
Gateway of India,18.921997,72.83457,12426,4.0,47,Sights and Landmarks,9.0
Kanheri Caves,19.205887,72.90686,1238,4.5,57;47,Nature and Parks;Sights and Landmarks,9.46
Global Vipassana Pagoda,19.22823,72.80585500000001,785,4.5,47,Sights and Landmarks,9.28
Shree Siddhivinayak,19.016773,72.83037,5583,4.5,47,Sights and Landmarks,9.5
Nariman Point,18.926123,72.82303,2392,4.5,51;47,Other;Sights and Landmarks,9.5
Elephanta Caves,18.963343,72.931496,1942,4.0,47,Sights and Landmarks,9.0
Mani Bhavan Gandhi Museum,18.959747,72.811485,1777,4.5,49,Museums,9.5
Essel World,19.22772,72.85571,1028,4.0,52,Water and Amusement Parks,8.92
Dharavi,19.044643,72.84804,517,4.0,51;47,Other;Sights and Landmarks,8.37
Wankhede Stadium,18.93682,72.82655,433,4.5,47,Sights and Landmarks,8.62
Colaba,18.92156,72.83100999999999,2491,4.5,51;47,Other;Sights and Landmarks,9.5
Chhatrapati Shivaji Terminus,18.935223,72.826775,4502,4.5,47,Sights and Landmarks,9.5
Dhobi Ghat,18.9818,72.82661,1109,4.0,47,Sights and Landmarks,8.94
KidZania Mumbai,19.100023,72.91669,887,4.5,52,Water and Amusement Parks,9.36
Water Kingdom,19.23624,72.80346999999999,893,4.5,52,Water and Amusement Parks,9.36
Worli Sea Face,19.01667,72.81667,875,4.5,47,Sights and Landmarks,9.35
Viviana Mall,19.208712,72.97182,358,4.5,26,Shopping,8.31
Red Carpet Wax Museum,19.100407,72.91611999999999,663,4.5,49;52,Museums;Water and Amusement Parks,9.15
Colaba Causeway,18.91925,72.82961,816,4.0,47,Sights and Landmarks,8.81
R City Mall,19.099771,72.916916,418,4.5,26,Shopping,8.56
Phoenix Marketcity,19.086504,72.88901,410,4.0,26,Shopping,8.03
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,18.926666,72.83209000000001,963,4.5,49,Museums,9.39
Mahalakshmi Temple,18.97802,72.81111,1322,4.5,47,Sights and Landmarks,9.47
Snow Kingdom,19.100601,72.91598,101,4.5,52,Water and Amusement Parks,6.16
High Street Phoenix,18.994235999999997,72.824455,434,4.5,26,Shopping,8.62
Mount Mary Basilica,19.046470000000003,72.82233000000001,1445,4.5,47,Sights and Landmarks,9.48
Babulnath Temple,18.95726,72.80866,536,4.5,47,Sights and Landmarks,8.91
Juhu Beach,19.104763000000002,72.82393,2292,3.5,57;61,Nature and Parks;Outdoor Activities,8.5
Oberoi Mall,19.17405,72.86032,288,4.5,26,Shopping,7.92
Aksa Beach,19.2367,72.84174,280,4.0,57;61,Nature and Parks;Outdoor Activities,7.37
Sanjay Gandhi National Park,19.213086999999998,72.91414,918,4.0,57,Nature and Parks,8.87
Priyadarshini Park,18.95717,72.79965,122,4.5,57,Nature and Parks,6.43
Nehru Planetarium,18.98989,72.8149,333,4.0,49,Museums,7.68
Sri Sri Radha Gopinath Temple,18.957558,72.80975,2550,4.5,47,Sights and Landmarks,9.5
Growel's 101 Mall,19.203132999999998,72.85996999999999,129,4.0,26,Shopping,6.02
Deccan Odyssey,18.92427,72.83315,89,4.5,42,Tours,6.0
Jain Temple - Mumbai,18.95121,72.801,437,4.5,47,Sights and Landmarks,8.63
Malabar Hill,18.9556,72.80596,426,4.0,51;47,Other;Sights and Landmarks,8.09
Prithvi Theatre,19.106222,72.825806,380,4.5,58,Concerts and Shows,8.41
Palladium Mall,18.994152,72.8243,71,4.0,26,Shopping,5.24
Shivaji Park,19.026999,72.83785,379,4.0,57,Nature and Parks,7.9
Mahalakshmi Race Course,18.97912,72.81578,75,4.5,53;56,Casinos and Gambling;Fun and Games,5.8
Crawford Market,18.947138,72.834114,421,4.0,26,Shopping,8.07
Jehangir Art Gallery,18.926576999999998,72.8318,310,4.0,49;26,Museums;Shopping,7.55
Bombay High Court,18.929201000000003,72.83074,373,4.0,47,Sights and Landmarks,7.88
Lokhandwala Market,19.13638,72.82569000000001,89,4.5,26,Shopping,6.0
Nehru Science Center,18.9908,72.81860999999999,141,4.0,49,Museums,6.16
Infiniti Mall,19.184767,72.83420600000001,266,4.5,26,Shopping,7.77
