Name,Latitude,Longitude,Review Count,Review Score,Category Id,Category Type
Victoria Memorial Hall,22.54665,88.3451,4598,4.5,49,Museums
Mother House,22.54537,88.3609,1576,4.5,47,Sights and Landmarks
Dakshineswar Kali Temple,22.655277,88.3579,2914,4.5,47,Sights and Landmarks
Park Street,22.55359,88.35209,2080,4.5,47,Sights and Landmarks
Eco Tourism Park,22.61638,88.46526,930,4.5,57,Nature and Parks
Howrah Bridge,22.57795,88.3479,2605,4.5,47,Sights and Landmarks
Eden Gardens,22.57634,88.36053,1351,4.5,47,Sights and Landmarks
Science City,22.540154,88.39623,755,4.0,49;52,Museums;Water and Amusement Parks
Quest Mall,22.539127,88.36549,325,4.5,26,Shopping
College Street (Boi Para),22.576155,88.36444,816,4.5,47,Sights and Landmarks
Prinsep Ghat,22.57795,88.3479,669,4.0,57,Nature and Parks
New Market,22.560644,88.3521,800,4.0,26,Shopping
Rabindra Sarovar,22.51418,88.3623,236,4.5,57,Nature and Parks
Pareshnath Jain Temple,22.5913,88.3782,170,4.5,47,Sights and Landmarks
Birla Planetarium,22.545568,88.34701,308,4.0,49,Museums
Jorasanko Thakur Bari,22.62706,88.38009,319,4.5,47,Sights and Landmarks
Kolkata Zoo & Zoological Garden,22.51744,88.32682,525,4.0,48;57;61,Zoos and Aquariums;Nature and Parks;Outdoor Activities
South City Mall,22.501791,88.361664,212,4.0,26,Shopping
Gariahat Market,22.52202,88.37028,341,4.0,47,Sights and Landmarks
Indian Museum (Jadu Ghar),22.557968,88.35109,972,4.0,49,Museums
Malik Ghat Flower Market,22.584064,88.34913,134,4.5,26,Shopping
South Park Street Cemetery,22.546227,88.36022,533,4.5,47,Sights and Landmarks
"Baps Shri Swaminarayan Mandir, Kolkata",22.51383,88.32273,54,4.5,47,Sights and Landmarks
Birla Industrial & Technological Museum,22.534473,88.36389,202,4.5,49,Museums
St. Paul's Cathedral,22.54447,88.34587,601,4.0,47,Sights and Landmarks
Netaji Bhawan,22.53793,88.35106,105,4.5,49,Museums
Salt Lake Stadium,22.59128,88.39301,149,4.5,47,Sights and Landmarks
"ISKCON Kolkata, Sri Sri Radha Govind Temple",22.54366,88.35319,174,4.5,47,Sights and Landmarks
Birla Temple,22.53784,88.3649,472,4.5,47,Sights and Landmarks
Nicco Parks & Resorts Limited,22.57081,88.42119,395,4.0,52,Water and Amusement Parks
Acropolis Mall,22.514807,88.393166,126,4.0,26,Shopping
Marble Palace Kolkata,22.582605,88.36011,435,4.0,49,Museums
Maidan,22.5513,88.3472,347,4.0,57,Nature and Parks
Parashnath Jain Temple,22.53639,88.35095,152,4.5,47,Sights and Landmarks
Mother's Wax Museum,22.599588,88.47233,262,4.0,49,Museums
Metro Railway,22.55218,88.34957,982,4.0,59,Transportation
Millenium Park,22.57863,88.3482,223,4.0,52,Water and Amusement Parks
Tagore House,22.520357,88.398735,131,4.5,49,Museums
Diamond Plaza,22.615396,88.41245,27,4.5,26,Shopping
Kalighat Kali Temple,22.52867,88.34419,833,3.5,47,Sights and Landmarks
Ramakrishna Mission Swami Vivekananda's Ancestral House and Cultural Centre,22.5865,88.36094,87,4.5,49;47,Museums;Sights and Landmarks
National Library,22.53519,88.33348,105,4.5,60,Traveller Resources
Dakshinapan Shopping Complex,22.508879,88.366615,72,4.0,26,Shopping
St. John's Church,22.5696,88.3469,237,4.0,47,Sights and Landmarks
Nehru Children's Museum,22.55218,88.34957,51,4.0,49,Museums
Tangra Chinatown,22.555567,88.39257,86,4.0,51;47,Other;Sights and Landmarks
Fort William,22.557388,88.33761,113,4.0,47,Sights and Landmarks
City Centre  Mall,22.588501,88.40837,107,4.0,26,Shopping
Aquatica,22.56284,88.464874,120,3.0,52,Water and Amusement Parks
