Name,Latitude,Longitude,Air conditioning,Housekeeping,Private balcony,Private bathrooms,VIP room facilities,Complimentary toiletries,Room service,Telephone,Minibar,Flatscreen TV,Wifi,Pool,Bar / lounge,Poolside bar,Free parking,Breakfast available,Restaurant,Airport transportation,Car hire,Taxi service,Banquet room,Meeting rooms,Conference facilities,Spa,Sauna,Currency exchange,24-hour security,Concierge,Baggage storage,Sun terrace,Shops,Butler service,First aid kit,Infirmary,24-hour front desk,Private check-in / check-out,Express check-in / check-out,Dry cleaning,Laundry service,Shoeshine,Ocean view,City view,Landmark view,Pool view,Non-smoking rooms,Smoking rooms available,Suites,Rating,Number of reviews,Price,Distance Score,Review Score
Royal Orchid Central,12.975137710571287,77.6153335571289,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,4.5,"1,809",1969.4,498.37,9.5
Hotel Royal Orchid Regenta Bangalore,12.95761489868164,77.64413452148438,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,4.5,"1,689",2947.13,398.12000000000006,9.49
The Leela Palace Bengaluru,12.960115432739258,77.64849090576172,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,4.5,"3,050",9027.0,379.30000000000007,9.5
Taj West End,12.98466682434082,77.5849609375,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,4.5,"2,223",7367.72,465.26000000000005,9.5
Lemon Tree Hotel Electronics City Bengaluru,12.840696334838867,77.6597900390625,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,4.5,"3,185",3561.42,4.79,9.5
Radisson Blu Atria Bengaluru,12.979873657226562,77.58627319335938,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,4.5,821,4312.0,484.01000000000005,9.31
Royal Orchid Resort & Convention Centre,13.086503028869627,77.59109497070312,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,4.0,880,1785.94,30.78,8.85
"Hotel Royal Orchid Suites, Whitefield, Bangalore",12.96678352355957,77.751220703125,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,4.5,"1,083",1825.25,46.21,9.43
"ITC Windsor, Bengaluru - a Luxury Collection Hotel",12.994080543518065,77.58570861816406,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,5.0,"4,725",5573.12,459.89000000000004,10.0
The Park Bangalore,12.97400188446045,77.6198501586914,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,4.0,"1,906",2744.0,484.74,9.0
"Lemon Tree Premier, Ulsoor Lake, Bengaluru",12.987306594848633,77.61679077148438,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,4.5,"2,000",2479.1,494.64000000000004,9.5
Conrad Bengaluru,12.975399017333984,77.62065124511719,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,5.0,"1,138",7280.0,481.59000000000003,9.95
Lemon Tree Hotel Whitefield,12.972237586975098,77.71784973144531,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,4.5,"1,328",5380.69,75.41,9.48
Angsana Oasis Spa & Resort,13.182623863220215,77.55908966064453,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,3.5,661,7560.0,10.54,8.14
Radisson Blu Bengaluru Outer Ring Road,12.950346946716307,77.698486328125,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,4.5,"1,598",3080.0,101.66,9.49
The Chancery Pavilion,12.965943336486815,77.59864044189453,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,4.0,"2,007",3057.6,482.2,9.0
Welcomhotel Bengaluru,12.968679428100586,77.6143798828125,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,4.5,"1,824",2688.0,500.88000000000005,9.5
Howard Johnson by Wyndham Bengaluru Hebbal,13.044797897338867,77.62638092041016,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,4.5,992,1982.53,177.60999999999999,9.41
The Windflower Prakruthi Bangalore,13.203413963317873,77.60929870605469,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,4.0,449,4024.82,10.54,8.17
Holiday Village,12.867630958557127,77.54334259033203,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,4.0,227,4368.0,81.52,6.98
